                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    154,                0.64179,                0.45172,                0.92911,                0.87306,                0.87115,                0.91677,                0.79091,                0.62783,                0.53444,                0.96278,             0.00055006,             0.00055006,             0.00055006
                    155,                0.62746,                0.43979,                0.90899,                0.91168,                0.81719,                0.91034,                0.79019,                0.59515,                0.60802,                0.94771,             0.00054639,             0.00054639,             0.00054639
                    156,                0.62153,                0.43596,                0.92037,                 0.9184,                0.86388,                0.91782,                 0.8027,                0.61212,                 0.5655,                0.95636,             0.00054272,             0.00054272,             0.00054272
                    157,                0.59592,                0.42329,                 0.9114,                0.92561,                 0.8548,                0.92066,                0.81077,                 0.5516,                0.48891,                0.93023,             0.00053906,             0.00053906,             0.00053906
                    158,                0.59043,                0.42229,                0.90149,                0.95711,                0.82097,                0.91932,                0.81777,                0.55078,                0.49909,                0.92886,             0.00053539,             0.00053539,             0.00053539
                    159,                0.60888,                 0.4298,                0.91127,                0.97984,                0.80864,                0.91743,                0.80604,                0.55325,                0.49749,                0.94688,             0.00053172,             0.00053172,             0.00053172
                    160,                0.61587,                0.42934,                0.91112,                0.96085,                 0.7752,                0.89841,                0.78103,                0.59555,                0.52706,                0.94634,             0.00052806,             0.00052806,             0.00052806
                    161,                0.61804,                0.43855,                0.91623,                0.96246,                0.79713,                0.92019,                0.77952,                0.59505,                0.53517,                 0.9505,             0.00052439,             0.00052439,             0.00052439
                    162,                0.61232,                0.42239,                0.91605,                0.92875,                0.78363,                0.91135,                0.77098,                0.59766,                0.57069,                0.94879,             0.00052073,             0.00052073,             0.00052073
                    163,                0.59838,                 0.4193,                0.91492,                0.93606,                 0.8041,                 0.9104,                0.78488,                0.60163,                0.51345,                0.95269,             0.00051706,             0.00051706,             0.00051706
                    164,                0.61198,                0.43305,                0.90911,                0.96141,                0.82544,                0.92377,                0.78988,                0.60384,                0.48972,                0.93716,             0.00051339,             0.00051339,             0.00051339
                    165,                0.57271,                0.41408,                0.89917,                0.90078,                0.87843,                0.93012,                0.79476,                0.59434,                0.48267,                0.91858,             0.00050973,             0.00050973,             0.00050973
                    166,                0.64045,                0.45051,                0.91619,                 0.9643,                 0.8203,                0.92244,                0.78906,                0.61039,                 0.4994,                0.93027,             0.00050606,             0.00050606,             0.00050606
                    167,                0.60011,                0.41274,                 0.9174,                0.93706,                0.81804,                0.92365,                0.78856,                 0.6092,                0.51134,                0.93364,             0.00050239,             0.00050239,             0.00050239
                    168,                0.59923,                0.42116,                0.89661,                 0.9326,                0.83188,                0.91107,                0.77882,                0.62821,                0.53528,                0.94349,             0.00049873,             0.00049873,             0.00049873
                    169,                0.62314,                0.42676,                0.91562,                0.90731,                0.82183,                0.89287,                0.78801,                0.59275,                0.55532,                 0.9316,             0.00049506,             0.00049506,             0.00049506
                    170,                0.60256,                0.42035,                0.90531,                0.89504,                0.82065,                 0.8946,                0.73777,                0.70075,                0.58192,                0.95919,              0.0004914,              0.0004914,              0.0004914
                    171,                0.60742,                0.42767,                0.90399,                0.95258,                0.79364,                0.91088,                0.73931,                0.67594,                0.53403,                0.93484,             0.00048773,             0.00048773,             0.00048773
                    172,                0.58054,                0.41046,                0.90667,                0.91962,                0.84333,                0.92017,                0.78011,                0.59185,                0.50345,                0.91832,             0.00048406,             0.00048406,             0.00048406
                    173,                0.59746,                0.41456,                0.90082,                0.93563,                0.80007,                0.89859,                0.76521,                0.63201,                0.50705,                0.93424,              0.0004804,              0.0004804,              0.0004804
                    174,                0.58305,                0.41813,                 0.8925,                 0.9079,                0.83714,                0.92116,                0.78621,                  0.578,                0.50025,                0.92483,             0.00047673,             0.00047673,             0.00047673
                    175,                0.56997,                0.40633,                  0.902,                0.86853,                0.87823,                0.93298,                0.79526,                0.58201,                 0.4822,                0.92536,             0.00047306,             0.00047306,             0.00047306
                    176,                0.56391,                0.40535,                0.89331,                0.95913,                0.84057,                0.94215,                 0.7992,                0.57324,                0.43702,                 0.9166,              0.0004694,              0.0004694,              0.0004694
                    177,                0.56552,                0.40308,                0.89267,                0.96102,                0.85356,                0.94234,                0.81749,                 0.5549,                0.43574,                0.91341,             0.00046573,             0.00046573,             0.00046573
                    178,                0.55729,                 0.3933,                0.89612,                0.94712,                0.86639,                0.93925,                0.82062,                0.55701,                0.44032,                0.92092,             0.00046206,             0.00046206,             0.00046206
                    179,                0.57139,                0.40342,                0.90408,                0.91709,                0.86468,                0.93901,                0.80546,                0.58666,                0.49143,                0.93912,              0.0004584,              0.0004584,              0.0004584
                    180,                0.59479,                0.42872,                 0.9176,                0.94163,                0.82451,                0.93363,                0.81899,                0.54596,                0.47091,                0.93404,             0.00045473,             0.00045473,             0.00045473
                    181,                0.59203,                 0.4198,                0.90663,                0.92976,                0.82905,                0.92513,                0.80772,                0.55885,                0.48196,                0.94129,             0.00045107,             0.00045107,             0.00045107
                    182,                0.56985,                 0.4109,                0.89684,                0.94677,                0.80916,                0.92124,                0.80031,                0.54329,                 0.4845,                0.93405,              0.0004474,              0.0004474,              0.0004474
                    183,                0.57726,                0.41415,                0.91208,                0.96992,                0.80942,                0.91955,                0.81243,                0.53666,                0.49024,                0.91781,             0.00044373,             0.00044373,             0.00044373
                    184,                0.59373,                0.41614,                0.90773,                0.95808,                0.80661,                0.92178,                0.78568,                0.63009,                0.52342,                 0.9444,             0.00044007,             0.00044007,             0.00044007
                    185,                 0.6029,                0.42192,                0.90326,                0.95042,                 0.8071,                0.91299,                0.79171,                0.60417,                0.51723,                0.95115,              0.0004364,              0.0004364,              0.0004364
                    186,                0.57942,                0.40585,                0.90399,                0.85233,                0.90328,                0.92166,                0.81729,                0.55659,                0.49706,                0.93612,             0.00043273,             0.00043273,             0.00043273
                    187,                0.57129,                0.40711,                0.89347,                0.92432,                0.85249,                0.92696,                0.79171,                0.62257,                0.53263,                0.94889,             0.00042907,             0.00042907,             0.00042907
                    188,                0.55317,                0.40813,                0.89236,                0.89438,                0.88477,                0.93095,                0.79214,                0.59158,                0.51333,                0.93442,              0.0004254,              0.0004254,              0.0004254
                    189,                0.58196,                0.41264,                0.89561,                0.92645,                0.87388,                0.93104,                0.81191,                0.59725,                0.52552,                0.93346,             0.00042174,             0.00042174,             0.00042174
                    190,                0.55699,                0.39813,                 0.8875,                0.89895,                0.89103,                 0.9278,                0.80549,                0.60018,                0.50742,                 0.9337,             0.00041807,             0.00041807,             0.00041807
                    191,                0.55037,                0.39814,                0.89874,                 0.9171,                0.90348,                0.92768,                 0.8165,                0.57061,                0.48632,                 0.9288,              0.0004144,              0.0004144,              0.0004144
                    192,                0.56116,                0.39762,                 0.8933,                0.92666,                0.86429,                0.92673,                0.80869,                0.57906,                0.48697,                0.93407,             0.00041074,             0.00041074,             0.00041074
                    193,                0.56642,                0.40953,                 0.8991,                0.93286,                0.84887,                0.93661,                0.80756,                0.56439,                0.49599,                0.93365,             0.00040707,             0.00040707,             0.00040707
                    194,                0.54973,                0.39239,                0.89027,                0.95926,                0.85894,                0.93517,                0.81466,                0.56636,                0.47814,                 0.9315,              0.0004034,              0.0004034,              0.0004034
                    195,                0.56325,                0.39855,                0.90183,                0.95202,                0.87098,                0.92684,                0.79176,                0.62972,                0.47404,                0.93693,             0.00039974,             0.00039974,             0.00039974
                    196,                0.55088,                0.39995,                0.90027,                0.96685,                0.85954,                0.92657,                0.80177,                0.57848,                0.44381,                0.92934,             0.00039607,             0.00039607,             0.00039607
                    197,                0.54926,                0.39618,                0.89151,                  0.941,                0.84406,                0.92209,                0.80792,                0.55713,                0.44648,                0.92387,             0.00039241,             0.00039241,             0.00039241
                    198,                0.54147,                0.39639,                0.88705,                0.90483,                0.86364,                0.90127,                0.77465,                0.62871,                0.51262,                0.95828,             0.00038874,             0.00038874,             0.00038874
                    199,                0.54388,                0.39119,                0.88287,                0.89946,                 0.8449,                0.91004,                0.79067,                0.58893,                0.50275,                0.95731,             0.00038507,             0.00038507,             0.00038507
                    200,                0.54478,                0.39574,                0.88927,                0.93553,                0.83708,                0.91577,                 0.7888,                0.60203,                0.51888,                0.96598,             0.00038141,             0.00038141,             0.00038141
                    201,                0.54888,                0.39597,                0.90028,                0.91528,                0.85657,                 0.9178,                0.78062,                0.63543,                0.52299,                0.96686,             0.00037774,             0.00037774,             0.00037774
                    202,                0.56623,                0.41024,                0.89756,                0.92481,                0.84991,                 0.9116,                 0.7879,                0.58138,                0.49929,                0.92404,             0.00037407,             0.00037407,             0.00037407
                    203,                0.51377,                0.37328,                0.87782,                0.90703,                0.85568,                0.91405,                0.81137,                 0.5666,                0.45472,                0.91984,             0.00037041,             0.00037041,             0.00037041
                    204,                0.54806,                0.38618,                0.88551,                0.89691,                0.85748,                0.92031,                0.80398,                 0.5872,                0.47033,                0.91747,             0.00036674,             0.00036674,             0.00036674
                    205,                0.53393,                0.38621,                 0.8926,                0.94056,                0.85044,                0.92058,                0.81442,                 0.5564,                0.43997,                0.90967,             0.00036307,             0.00036307,             0.00036307
                    206,                0.51707,                0.36992,                0.88411,                0.96758,                0.83851,                0.92282,                0.81132,                0.56064,                0.44251,                0.91789,             0.00035941,             0.00035941,             0.00035941
                    207,                0.52847,                0.38632,                0.89613,                0.94174,                0.81416,                0.91916,                0.79037,                0.61658,                 0.5073,                0.92983,             0.00035574,             0.00035574,             0.00035574
                    208,                0.55445,                 0.3942,                0.89443,                0.87265,                0.84022,                 0.9241,                0.80232,                0.57089,                0.59563,                0.95499,             0.00035208,             0.00035208,             0.00035208
                    209,                0.54261,                0.39069,                0.88191,                0.76789,                0.89213,                0.90688,                0.78341,                0.58109,                0.64978,                0.96046,             0.00034841,             0.00034841,             0.00034841
                    210,                0.51777,                0.38298,                0.88604,                0.80454,                0.88345,                0.91897,                0.78468,                0.56587,                 0.6097,                0.92633,             0.00034474,             0.00034474,             0.00034474
                    211,                0.51813,                0.37413,                0.88296,                0.83374,                0.88336,                0.92367,                0.79201,                0.54946,                0.59512,                0.91754,             0.00034108,             0.00034108,             0.00034108
                    212,                0.50606,                0.38271,                0.88138,                0.91971,                0.85652,                0.92303,                0.80573,                0.54437,                 0.4857,                0.89629,             0.00033741,             0.00033741,             0.00033741
                    213,                  0.547,                0.39118,                0.88902,                0.94919,                0.83803,                0.92874,                0.81953,                0.54125,                 0.4573,                0.89283,             0.00033374,             0.00033374,             0.00033374
                    214,                0.52824,                0.37684,                0.87716,                 0.9471,                0.84803,                0.93188,                0.81935,                0.53319,                 0.4593,                0.90375,             0.00033008,             0.00033008,             0.00033008
                    215,                0.53352,                0.38762,                0.89154,                0.93967,                0.83483,                0.91766,                0.80951,                0.53879,                0.44316,                0.89797,             0.00032641,             0.00032641,             0.00032641
                    216,                0.52203,                0.38097,                0.87966,                0.93633,                0.81258,                0.91772,                0.80805,                0.54379,                0.44271,                0.89471,             0.00032275,             0.00032275,             0.00032275
                    217,                0.52259,                0.38313,                0.89041,                0.95168,                 0.8381,                0.93047,                 0.8197,                 0.5305,                0.45366,                0.89633,             0.00031908,             0.00031908,             0.00031908
                    218,                0.51251,                0.37651,                0.88426,                0.94255,                0.84563,                 0.9328,                0.81994,                0.52249,                0.44809,                0.88967,             0.00031541,             0.00031541,             0.00031541
                    219,                0.51307,                0.37811,                0.87584,                0.96492,                0.85414,                0.93012,                0.81244,                0.55974,                 0.4578,                0.89713,             0.00031175,             0.00031175,             0.00031175
                    220,                0.50965,                0.37039,                0.88048,                0.93345,                0.85255,                0.92474,                0.81517,                 0.5465,                0.44145,                0.89404,             0.00030808,             0.00030808,             0.00030808
                    221,                 0.5338,                0.38112,                0.88407,                0.96471,                0.82331,                0.91897,                0.81378,                 0.5565,                 0.4474,                 0.8939,             0.00030441,             0.00030441,             0.00030441
                    222,                0.51132,                0.37372,                0.87112,                0.96653,                0.82871,                0.91684,                0.80574,                0.57165,                0.44612,                0.89322,             0.00030075,             0.00030075,             0.00030075
                    223,                0.52311,                0.37062,                0.88439,                0.96689,                 0.8369,                0.92589,                0.82361,                0.53282,                 0.4436,                0.89572,             0.00029708,             0.00029708,             0.00029708
                    224,                0.52719,                0.37469,                0.88394,                0.96991,                0.83758,                0.93046,                0.81666,                0.54137,                0.43906,                0.90475,             0.00029342,             0.00029342,             0.00029342
                    225,                0.52193,                 0.3744,                0.88833,                 0.9712,                0.83625,                0.93117,                0.80602,                0.56138,                0.44688,                0.90372,             0.00028975,             0.00028975,             0.00028975
                    226,                0.51267,                0.36179,                0.88121,                 0.9537,                0.83456,                0.92848,                0.80646,                0.55507,                0.46999,                0.89776,             0.00028608,             0.00028608,             0.00028608
                    227,                0.48599,                0.36246,                0.87763,                0.95063,                0.82723,                0.91921,                0.80123,                0.55894,                0.46988,                0.90931,             0.00028242,             0.00028242,             0.00028242
                    228,                0.51332,                0.36945,                0.87101,                0.96783,                0.83056,                0.92602,                0.81672,                0.53667,                0.45894,                0.90973,             0.00027875,             0.00027875,             0.00027875
                    229,                0.49857,                0.36683,                0.89135,                 0.8984,                0.87599,                0.91779,                0.81324,                0.54363,                0.44708,                0.90715,             0.00027508,             0.00027508,             0.00027508
                    230,                 0.5034,                 0.3676,                0.87783,                0.98009,                0.84738,                0.92869,                0.82104,                0.52931,                0.42612,                0.89829,             0.00027142,             0.00027142,             0.00027142
                    231,                0.49163,                0.35805,                0.86876,                0.97994,                0.85074,                0.92675,                0.81305,                0.54942,                0.44683,                0.90173,             0.00026775,             0.00026775,             0.00026775
                    232,                0.51324,                0.36754,                0.88173,                0.91904,                0.84592,                0.92445,                0.80178,                0.58391,                 0.4634,                0.91676,             0.00026408,             0.00026408,             0.00026408
                    233,                0.50599,                0.37239,                0.87413,                0.96712,                0.80862,                0.92309,                0.81611,                0.53936,                0.45919,                 0.9148,             0.00026042,             0.00026042,             0.00026042
                    234,                0.52695,                0.37666,                0.89714,                0.97609,                0.84302,                0.92973,                0.83124,                0.51361,                0.44473,                0.91029,             0.00025675,             0.00025675,             0.00025675
                    235,                0.51547,                0.37483,                0.88722,                0.97929,                0.84107,                0.92989,                0.82721,                0.51724,                0.44291,                0.91456,             0.00025309,             0.00025309,             0.00025309
                    236,                 0.4897,                0.36051,                0.87932,                0.95783,                0.84722,                0.91959,                0.82081,                0.52646,                0.44206,                0.91494,             0.00024942,             0.00024942,             0.00024942
                    237,                0.53286,                0.38654,                0.90181,                 0.9376,                0.84602,                0.91929,                0.81425,                0.51725,                0.43314,                0.91396,             0.00024575,             0.00024575,             0.00024575
                    238,                0.48386,                0.36252,                   0.87,                0.86698,                0.87216,                0.91496,                0.80774,                0.54413,                0.46205,                0.91412,             0.00024209,             0.00024209,             0.00024209
                    239,                0.48452,                0.36386,                0.87057,                0.95838,                 0.8103,                0.91783,                0.81571,                0.54033,                0.47336,                0.91746,             0.00023842,             0.00023842,             0.00023842
                    240,                0.48001,                0.36088,                0.87146,                0.95691,                0.81283,                0.91261,                0.81066,                0.55447,                0.48209,                0.92004,             0.00023475,             0.00023475,             0.00023475
                    241,                0.52769,                0.39025,                0.89075,                0.86379,                0.87958,                0.91553,                0.81272,                0.56475,                0.48035,                0.92771,             0.00023109,             0.00023109,             0.00023109
                    242,                0.45801,                0.34371,                0.86723,                0.95703,                 0.8324,                0.92944,                0.81456,                0.54918,                0.46241,                  0.926,             0.00022742,             0.00022742,             0.00022742
                    243,                0.52586,                0.37585,                0.89395,                0.92392,                0.85923,                0.92039,                0.81906,                0.51885,                0.44879,                0.91751,             0.00022376,             0.00022376,             0.00022376
                    244,                0.46186,                0.34184,                0.86209,                0.91728,                0.87377,                0.92182,                0.82533,                0.52009,                0.42914,                0.91834,             0.00022009,             0.00022009,             0.00022009
                    245,                0.46237,                0.34833,                0.86663,                0.91775,                0.87623,                0.92425,                 0.8256,                0.52454,                0.42011,                0.91771,             0.00021642,             0.00021642,             0.00021642
                    246,                0.45481,                0.34398,                0.86414,                 0.9315,                 0.8597,                 0.9252,                0.82381,                0.52002,                0.41504,                0.90836,             0.00021276,             0.00021276,             0.00021276
                    247,                0.46755,                0.35662,                0.87778,                0.96515,                0.83422,                0.92702,                0.83475,                0.51106,                0.41443,                0.90863,             0.00020909,             0.00020909,             0.00020909
                    248,                0.47877,                0.35264,                0.86146,                0.90939,                0.87796,                0.93208,                0.83441,                0.50106,                0.40867,                0.90357,             0.00020542,             0.00020542,             0.00020542
                    249,                0.47491,                0.35831,                0.86865,                0.96436,                0.83492,                0.93147,                0.82923,                0.50584,                0.41347,                0.90396,             0.00020176,             0.00020176,             0.00020176
                    250,                 0.5104,                0.37076,                0.87355,                0.93032,                0.84474,                0.93449,                0.82135,                0.52512,                0.43872,                0.90828,             0.00019809,             0.00019809,             0.00019809
                    251,                0.45674,                0.34261,                0.87278,                0.92109,                0.86105,                 0.9309,                0.82786,                0.52471,                0.43721,                0.90626,             0.00019442,             0.00019442,             0.00019442
                    252,                0.50143,                0.36852,                0.88253,                0.91589,                0.86126,                0.92477,                0.83028,                0.53258,                0.46687,                 0.9138,             0.00019076,             0.00019076,             0.00019076
                    253,                0.45845,                0.34228,                 0.8658,                0.92981,                  0.835,                0.92718,                0.81771,                  0.549,                 0.4769,                0.92019,             0.00018709,             0.00018709,             0.00018709
                    254,                   0.48,                0.36287,                0.87249,                  0.972,                0.80226,                0.91974,                0.81274,                0.53961,                0.46332,                0.91108,             0.00018343,             0.00018343,             0.00018343
                    255,                0.47422,                0.35337,                0.87317,                0.93577,                0.83459,                0.92745,                0.82371,                0.51967,                0.44831,                0.90701,             0.00017976,             0.00017976,             0.00017976
                    256,                0.47852,                 0.3578,                 0.8769,                0.92747,                0.83959,                0.93161,                0.82253,                0.51396,                0.44375,                0.90428,             0.00017609,             0.00017609,             0.00017609
                    257,                 0.4781,                0.35096,                0.86574,                0.95806,                0.82496,                 0.9299,                0.82939,                0.52451,                0.44571,                0.90813,             0.00017243,             0.00017243,             0.00017243
                    258,                0.47726,                 0.3556,                0.87015,                0.90801,                0.86775,                0.92985,                0.83573,                0.50883,                0.42837,                0.90728,             0.00016876,             0.00016876,             0.00016876
                    259,                0.45586,                0.33741,                0.87306,                0.91359,                0.86393,                0.92854,                 0.8413,                 0.4981,                 0.4269,                0.89955,             0.00016509,             0.00016509,             0.00016509
                    260,                0.45908,                0.34561,                0.86927,                0.93708,                0.85227,                0.92975,                0.83486,                0.49658,                0.42232,                0.90039,             0.00016143,             0.00016143,             0.00016143
                    261,                0.48738,                0.35556,                0.86696,                0.94765,                0.84425,                0.93023,                 0.8279,                0.50477,                0.41892,                0.89981,             0.00015776,             0.00015776,             0.00015776
                    262,                0.46593,                0.34521,                0.86909,                0.97481,                0.82637,                 0.9359,                0.82783,                0.51492,                 0.4263,                0.90003,              0.0001541,              0.0001541,              0.0001541
                    263,                0.42343,                0.32416,                0.85427,                0.96281,                0.83419,                0.93856,                0.83138,                0.51137,                0.42752,                0.90035,             0.00015043,             0.00015043,             0.00015043
                    264,                   0.44,                0.33856,                0.86407,                0.93791,                0.83575,                0.93577,                 0.8278,                0.50411,                0.42819,                0.89955,             0.00014676,             0.00014676,             0.00014676
                    265,                0.42679,                0.32684,                0.85988,                0.96761,                0.79121,                0.92956,                0.82357,                0.50796,                0.45234,                 0.9014,              0.0001431,              0.0001431,              0.0001431
                    266,                0.45693,                0.34571,                 0.8749,                0.87604,                0.85265,                0.92592,                0.82099,                0.52049,                0.46932,                0.90192,             0.00013943,             0.00013943,             0.00013943
                    267,                0.45908,                0.33929,                0.86484,                0.89782,                0.87184,                0.92775,                0.81473,                 0.5325,                0.47638,                0.90744,             0.00013576,             0.00013576,             0.00013576
                    268,                0.45855,                0.34228,                0.85684,                0.96468,                0.82187,                0.92196,                0.82471,                0.51718,                0.47289,                0.90565,              0.0001321,              0.0001321,              0.0001321
                    269,                0.45317,                0.34143,                0.86612,                0.98172,                0.83238,                0.92317,                0.82577,                0.50867,                0.46222,                0.90248,             0.00012843,             0.00012843,             0.00012843
                    270,                0.43996,                0.33378,                0.86301,                 0.9562,                0.82082,                0.92221,                0.82291,                0.51372,                0.46305,                0.90184,             0.00012477,             0.00012477,             0.00012477
                    271,                0.46477,                0.35008,                0.86625,                0.92425,                0.82327,                0.92206,                0.81794,                0.51749,                0.45487,                 0.8957,              0.0001211,              0.0001211,              0.0001211
                    272,                0.45899,                0.34384,                0.86445,                0.87616,                0.84056,                0.91945,                 0.8187,                0.49415,                0.44224,                0.89223,             0.00011743,             0.00011743,             0.00011743
                    273,                0.45687,                0.34399,                0.86382,                0.87235,                0.85033,                0.92386,                0.82226,                0.48901,                0.44438,                0.89413,             0.00011377,             0.00011377,             0.00011377
                    274,                0.42754,                0.33095,                0.85401,                0.91149,                0.82296,                0.92346,                0.81662,                0.49712,                0.44407,                0.89898,              0.0001101,              0.0001101,              0.0001101
                    275,                0.45349,                 0.3501,                0.87312,                 0.9348,                0.81379,                0.92321,                0.81844,                0.50844,                0.44559,                0.89937,             0.00010643,             0.00010643,             0.00010643
                    276,                0.46037,                0.34869,                0.86958,                0.95008,                0.82704,                0.92434,                0.82633,                0.51078,                0.45405,                0.89695,             0.00010277,             0.00010277,             0.00010277
                    277,                 0.4345,                0.33504,                0.86903,                0.94842,                0.82799,                0.92852,                 0.8275,                0.51724,                0.45414,                0.89869,             9.9101e-05,             9.9101e-05,             9.9101e-05
                    278,                0.43266,                0.32762,                0.86246,                 0.9328,                0.83409,                0.92724,                0.82077,                0.52144,                0.45663,                0.89753,             9.5435e-05,             9.5435e-05,             9.5435e-05
                    279,                0.45831,                 0.3447,                0.87406,                0.95045,                0.83479,                0.93033,                0.82095,                0.51294,                0.44611,                0.89506,             9.1769e-05,             9.1769e-05,             9.1769e-05
                    280,                 0.4409,                0.33636,                 0.8631,                0.95344,                0.83388,                0.93292,                0.82031,                0.50811,                0.43261,                0.89345,             8.8102e-05,             8.8102e-05,             8.8102e-05
                    281,                0.42196,                0.32178,                0.86236,                0.95895,                0.83444,                0.93349,                 0.8172,                0.51112,                0.42739,                0.89414,             8.4436e-05,             8.4436e-05,             8.4436e-05
                    282,                 0.4356,                 0.3314,                0.85605,                0.97816,                0.83185,                0.93092,                0.81987,                0.51459,                0.42874,                0.89707,              8.077e-05,              8.077e-05,              8.077e-05
                    283,                0.44947,                0.33897,                0.85931,                0.97905,                0.83072,                0.92851,                0.81529,                0.51114,                0.42776,                0.89785,             7.7103e-05,             7.7103e-05,             7.7103e-05
                    284,                0.42761,                0.33107,                0.86253,                0.95552,                0.82612,                0.92706,                0.81829,                0.50715,                0.42156,                0.89536,             7.3437e-05,             7.3437e-05,             7.3437e-05
                    285,                0.44377,                 0.3316,                0.86546,                0.94501,                 0.8352,                0.92743,                 0.8235,                0.50259,                0.41835,                0.89411,             6.9771e-05,             6.9771e-05,             6.9771e-05
                    286,                0.42083,                0.32604,                0.85244,                0.96767,                0.83091,                0.92846,                0.82493,                0.49813,                0.41729,                0.89101,             6.6105e-05,             6.6105e-05,             6.6105e-05
                    287,                0.44093,                0.33115,                0.86209,                0.96784,                0.83182,                0.93045,                 0.8219,                0.49956,                0.41667,                0.89226,             6.2438e-05,             6.2438e-05,             6.2438e-05
                    288,                0.39507,                0.31346,                0.85942,                0.97466,                0.83204,                0.93008,                0.82036,                0.50054,                0.41847,                0.89337,             5.8772e-05,             5.8772e-05,             5.8772e-05
                    289,                0.44046,                0.33025,                0.86009,                0.97822,                0.83099,                0.93039,                0.82745,                 0.5001,                0.42241,                0.89276,             5.5106e-05,             5.5106e-05,             5.5106e-05
                    290,                0.44293,                0.33501,                0.87018,                0.96184,                0.83336,                0.92921,                0.82857,                0.49706,                0.42481,                0.89333,             5.1439e-05,             5.1439e-05,             5.1439e-05
                    291,                0.38927,                0.31219,                0.84483,                0.95114,                0.84422,                0.93396,                 0.8296,                0.49299,                0.41629,                0.89325,             4.7773e-05,             4.7773e-05,             4.7773e-05
                    292,                0.38336,                0.31257,                0.85336,                0.95729,                0.84677,                0.93085,                0.83338,                0.48973,                0.40879,                0.89353,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    293,                0.37107,                0.30179,                0.84086,                0.95945,                0.84947,                0.93029,                0.83282,                0.48977,                0.40795,                0.89416,              4.044e-05,              4.044e-05,              4.044e-05
                    294,                 0.3671,                0.29444,                0.84049,                 0.9449,                0.85103,                0.93224,                0.83012,                0.49056,                0.40779,                0.89695,             3.6774e-05,             3.6774e-05,             3.6774e-05
                    295,                0.37685,                0.30718,                0.83449,                0.98194,                0.82837,                0.93325,                0.82962,                0.50004,                0.41104,                0.90115,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    296,                0.36231,                0.28881,                0.84269,                0.98239,                0.82718,                0.93207,                0.82945,                0.50769,                0.41958,                0.90538,             2.9442e-05,             2.9442e-05,             2.9442e-05
                    297,                0.36359,                0.29366,                 0.8353,                0.98272,                0.82595,                0.93203,                0.82864,                 0.5086,                0.42265,                0.90623,             2.5775e-05,             2.5775e-05,             2.5775e-05
                    298,                0.35194,                0.29359,                0.82786,                  0.971,                0.81436,                0.92668,                0.82744,                  0.508,                0.42709,                0.90736,             2.2109e-05,             2.2109e-05,             2.2109e-05
                    299,                0.35182,                0.28711,                0.83406,                0.96942,                0.81481,                0.92671,                  0.829,                0.50442,                0.42508,                0.90712,             1.8443e-05,             1.8443e-05,             1.8443e-05
                    300,                0.36175,                0.30122,                0.83652,                0.97047,                0.81422,                0.92679,                0.82956,                0.50464,                0.43069,                0.90834,             1.4776e-05,             1.4776e-05,             1.4776e-05
