                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0568,                0.79706,                 1.1097,                0.90622,                0.72808,                0.86457,                0.65722,                0.85363,                0.85518,                 1.0847,             0.00098635,             0.00098635,             0.00098635
                     36,                 1.0255,                0.78625,                 1.0868,                0.78646,                0.78022,                0.84377,                  0.674,                0.85564,                0.78591,                  1.073,             0.00098268,             0.00098268,             0.00098268
                     37,                0.95782,                 0.7281,                 1.0499,                0.91706,                 0.6949,                 0.8632,                0.66823,                0.89561,                0.83553,                 1.0738,             0.00097901,             0.00097901,             0.00097901
                     38,                 1.0181,                0.75297,                 1.0898,                0.80776,                0.73242,                0.83356,                  0.648,                0.83633,                0.82288,                 1.0485,             0.00097535,             0.00097535,             0.00097535
                     39,                  1.002,                0.74234,                 1.0696,                0.86805,                0.81819,                0.89692,                0.67781,                0.83297,                 0.7151,                  1.085,             0.00097168,             0.00097168,             0.00097168
                     40,                0.96998,                0.72139,                 1.0524,                0.89598,                 0.8427,                0.88726,                0.67475,                0.92451,                0.73009,                 1.0865,             0.00096801,             0.00096801,             0.00096801
                     41,                0.96935,                0.71656,                 1.0622,                0.87547,                0.80812,                0.86049,                0.63184,                0.93341,                0.79186,                 1.0774,             0.00096435,             0.00096435,             0.00096435
                     42,                0.94907,                0.69449,                   1.04,                0.89668,                0.79382,                0.86964,                0.67931,                0.83492,                0.81237,                 1.0474,             0.00096068,             0.00096068,             0.00096068
                     43,                0.98649,                0.70077,                 1.0546,                0.91104,                0.75645,                0.90047,                0.66714,                0.86908,                0.83289,                 1.0635,             0.00095702,             0.00095702,             0.00095702
                     44,                0.95269,                0.69224,                 1.0388,                 0.9424,                0.79178,                0.89989,                 0.6843,                0.82809,                0.72852,                 1.0733,             0.00095335,             0.00095335,             0.00095335
                     45,                0.93117,                  0.685,                 1.0448,                0.92586,                0.75261,                0.85847,                0.66154,                0.84293,                0.77988,                 1.0805,             0.00094968,             0.00094968,             0.00094968
                     46,                0.95492,                0.68846,                  1.079,                 0.8893,                0.77853,                0.87305,                0.68148,                0.85847,                0.73635,                  1.039,             0.00094602,             0.00094602,             0.00094602
                     47,                0.94356,                0.66664,                  1.033,                0.93185,                0.73588,                0.86872,                0.69422,                0.77056,                0.73607,                  1.023,             0.00094235,             0.00094235,             0.00094235
